"Eh bien !","Je m’y rendrai, toujours exempt d’effroi."
"Sont-ce nos deux amis qui parlent de la sorte,  je les ai vus périr, dieux !","Leur puissance est forte,  les nommant tu les crois."
"Leur puissance est forte,  les nommant tu les crois.","C'est façon de parler,  et pour de tels discours, je ne dois point trembler."
"fuyons plutôt, monsieur.","Non, non, nous y voici."
"Ah !","Que pour mon profit ne suis-je loin d'ici !"
"Don juan, songe à toi, tu vas cesser de vivre,  si tu ne veux tenir le chemin qu’on doit suivre.","Est-ce là le repas que tu veux me donner,  et par ces vaines peurs prétends-tu m'étonner ?"
"Est-ce là le repas que tu veux me donner,  et par ces vaines peurs prétends-tu m'étonner ?","ne t'avais-je pas dit quelle était ma pensée ?"
"quoi !","De ton souvenir serait-elle effacée ?"
"De ton souvenir serait-elle effacée ?","faut-il te répéter qu'un coeur comme le mien  s'affranchit des remords et ne redoute rien ?"
"voilà pour quel sujet je t’avais invité.","déclare promptement quelle est ta volonté."
"déclare promptement quelle est ta volonté.","Ombre, tu perds ton temps à des discours frivoles ;  tu crois toucher mon coeur, je ris de tes paroles,  et pour te détourner d'y prétendre plus rien,  apprends mon sentiment, mais écoute-moi bien,  car la redite ici ne m'est pas nécessaire :  je n'ai rien fait encor que je ne veuille faire,  je fus ton assassin et si l'occasion  faisait naître à ce prix ma satisfaction,  je remplirais d'horreur et de deuil ta famille,  et ferais périr tout"
"Ombre, tu perds ton temps à des discours frivoles ;  tu crois toucher mon coeur, je ris de tes paroles,  et pour te détourner d'y prétendre plus rien,  apprends mon sentiment, mais écoute-moi bien,  car la redite ici ne m'est pas nécessaire :  je n'ai rien fait encor que je ne veuille faire,  je fus ton assassin et si l'occasion  faisait naître à ce prix ma satisfaction,  je remplirais d'horreur et de deuil ta famille,  et ferais périr tout","les forfaits les plus noirs ont des charmes pour moi,  et loin que tes avis me donnent de l'effroi,  je prétends dès demain dans l'ardeur qui m'anime,  entasser mort sur mort et crime sur le crime."
"les forfaits les plus noirs ont des charmes pour moi,  et loin que tes avis me donnent de l'effroi,  je prétends dès demain dans l'ardeur qui m'anime,  entasser mort sur mort et crime sur le crime.","oui, malgré tes avis."
"oui, malgré tes avis.","Redoute mon pouvoir."
"Redoute mon pouvoir.","Va, va, je n'en crois rien si tu ne le fais voir."
"repens-toi, repens-toi.","Qui, moi, me repentir ?"
"Qui, moi, me repentir ?","quand la terre sous moi fondrait pour m'engloutir,  que chaque pas serait un précipice, un gouffre,  qu'il pleuvrait sur moi de la flamme et du soufre  mon coeur ferme et constant ne pourrait s'ébranler,  et je saurais mourir plutôt que d'en parler ;  et pour te faire voir qu'on ne peut m'y résoudre  tonne quand il voudra, j'attends le coup de foudre."
"Madame l’ombre, hélas !","Faites payer mes gages !"
"Pensez-y bien.","Vraiment, vous tardez bien à me venir trouver !"
"Ah !","Ne me surprends point par une fausse joie."
"Il marche sur mes pas, et de plus, il m’envoie.","Comment !"
"Il t’a parlé ?","Si bien que vous verrez si je suis véritable, et si vous me croirez."
"Père trop cruel !","Tyrannique pouvoir, qui va bientôt réduire une âme au désespoir."
"Eh quoi!","Par une loi si dure et si barbare, faudra-t-il qu'une amour si constante et si rare."
"Ne triomphez pas ici de ma faiblesse, mourir !","Ce mot me choque, et bien plus, il me blesse."
"Je sais, pour m’affliger, qu’un don juan vous aime, qu’il dit que vous l’aimez, qu’il a la vanité d’assurer en tous lieux qu’il en est écouté, que vous prêtez l’oreille à ses discours infâmes : et que vous approuvez et ses soins, et ses flammes : mais si vous permettez que je lui fasse voir comme il doit, l’insolent, rentrer dans son devoir, quel qu’il puisse être enfin, je lui ferai connaître que ce discours ne part que d’un lâche et d’un traître.","Sans passion, de grâce, il n'est pas de besoin, ni de vous emporter, ni de prendre ce soin."
"Aussitôt que le jour fera place à la nuit, venez assurément sans escorte, et sans bruit, je vous entretiendrai dessous cette fenêtre.","Je vous y préviendrai, pour vous faire connaître qu'un amant méprisé méprise le danger, quand son jaloux dépit l'oblige à se venger."
"Qui n’a qu’impiété et que fureurs dans l’âme, qui va porter partout et le fer et la flamme, et qui, sans respecter le sexe ni le rang, tue, enlève, assassine, et s’abreuve de sang ?","Honneur que j'emportais dedans la sépulture, fallait-il qu'un prodige horrible en la nature par des crimes si grands eut bien osé ternir un renom éclatant qui n'aurait pu finir ?"
"Las !","Il n'est que trop vrai que les vertus des pères ne sont pas aux enfants des biens héréditaires, et que le soin qu'on prend à les bien élever souvent les précipite au lieu de les sauver."
"Détournez la tempête, sauvez mon fils du coup qui menace sa tête ou si votre bonté ne veut le secourir, accordez à mes voeux la grâce de mourir.","Sans les importuner de vos cris lamentables, vaut-il pas mieux qu'il soit à tous les mille diables ?"
"C’est ce qui m’épouvante et c’est ce qui me tue.","Il n'a pas plutôt dit que le drôle effectue."
"Il n'a pas plutôt dit que le drôle effectue.","C'est par là que je perds le sens et la raison."
"Si les miennes étaient sujettes à l’envie, vous prendriez moins de soins à censurer ma vie, vous songeriez ailleurs et n’outrageriez point un fils que vos discours choquent au dernier point, et qui n’entreprend rien que l’âge n’autorise.","Ce propos insolent a mon âme surprise : quoi !"
"Ce propos insolent a mon âme surprise : quoi !","L'âge t'autorise en tes lâches desseins ?"
"L'âge t'autorise en tes lâches desseins ?","Que je plains ta manie !"
"Hélas, que je la crains !","Esprit pernicieux, sont-ce là tes pensées ?"
"Il dit qu’il en a vu bien d’autres dans les fables.","Tu crois que l'on t'estime et qu'on nomme valeur d'être ainsi redoutable à tous les gens d'honneur ?"
"Tu crois que l'on t'estime et qu'on nomme valeur d'être ainsi redoutable à tous les gens d'honneur ?","Mais viença, sais tu bien jusqu'où va cette estime ?"
"Sans exercer ici ta fureur et ta rage, va dans l’occasion signaler ton courage, c’est là qu’il faut montrer tes inclinations, c’est là qu’il faut borner toutes tes passions : qu’il faut surprendre un fort et forcer des murailles, non pas perdre le temps à livrer des batailles à des coeurs innocents qui n’aiment que la paix et qui tremblent sans cesse au bruit de tes forfaits.","Souffrirai je longtemps toutes vos rêveries ?"
"Souffrirai je longtemps toutes vos rêveries ?","De sinistres effets elles seront suivies, si vous portez plus loin vos importunités."
"Que la vieillesse a d’incommodités !","De grâce, finissez ces importuns reproches, je sens d'une fureur les secrètes approches, qui pourraient."
"Tu ne peux éviter la colère des dieux, leur justice.","Le feu de mes jeunes années ne peut souffrir encor mes passions bornées ; il ne saurait donner de règle à mes désirs et je ne prescris point de borne à mes plaisirs."
"Le feu de mes jeunes années ne peut souffrir encor mes passions bornées ; il ne saurait donner de règle à mes désirs et je ne prescris point de borne à mes plaisirs.","Je ne vous connais plus, ni ne vous veux connaître, je ne veux plus souffrir de père ni de maître, et si les dieux voulaient m'imposer une loi, je ne voudrais ni dieux, père, maître, ni roi."
"Justes dieux, épargnez à ce fils criminel, à ma prière ardente, un supplice éternel.","Allez les invoquer, c'est ce que je désire."
"Allez les invoquer, c'est ce que je désire.","Mon sort est malheureux, mais le tien sera pire."
"Mon sort est malheureux, mais le tien sera pire.","Que le sort soit prospère, ou qu'il soit ennuyeux, je suis mon roi, mon maître et mon sort et mes dieux."
"Dites un peu ce qu’il faut que je fasse ; si je vous entends bien, vous renoncez à tout, dieux, diables, hommes, cieux, de l’un à l’autre bout ; et si ces messieurs là vous renoncent de même, où diable aller souper ?","Ô l'insolence extrême !"
"Prends ma défense, et ne lui permets pas.","Vos cris sont superflus, allez, retirez vous."
"Hélas !","Je n'en puis plus."
"Je n'en puis plus.","Suis-moi."
"Qu’il conçoive l’envie de quitter pour jamais sa détestable vie ; ou si votre bonté n’écoute pas ma voix, il ne faut plus languir, la mort seule est mon choix, oui, plutôt que de voir les maux que j’appréhende, dieux, donnez-moi la mort que mon coeur vous demande.","Je voudrais bien savoir que veut dire cela ?"
"À la force, au secours, on m’enlève !","On me tue !"
"Il ne faut pas ici faire le pied de grue ; dénichons vitement.","Quel désordre est ceci ?"
"Appelle maintenant le ciel à ton secours, voilà ce que mérite un insolent langage.","À moi, je suis blessé."
"Ma fille, je me meurs, adieu, souvenez-vous que don philippe doit être un jour votre époux : j’avais pour cet hymen un peu de répugnance ; c’était, je le confesse, avec peu d’apparence, mais vous en étiez cause, à présent dites lui que je le reconnais pour mon gendre aujourd’hui, comme tel qu’il se doit venger en sa colère de l’affront de la fille, et de la mort du père ; et pour vous acquitter d’un si juste devoir, montrez ce que sur lui vous avez de pouvoir, adieu, je n’en puis plus, c’en est fait, et j’expire.","Commandement funeste !"
"Commandement funeste !","Ah, trop cruel martyre !"
"Non, non, séchons nos yeux, courons à la vengeance ; puisqu’un père mourant nous le commande ainsi, plutôt qu’en ce dessein, mon coeur n’ait réussi, perçons-le, et faisons voir par un effet visible à quel point cette mort nous doit être sensible : mais je n’aperçois pas que je perds du temps ici, tandis qu’il faut chercher.","Quel désordre est ceci ?"
"Quel désordre est ceci ?","Amarille, d'où vient la douleur apparente."
"Amarille, il faut faire fermer les portes de la ville ; mais comment s’est donc fait un coup si malheureux ?","Qu'un moment coûte cher souvent aux amoureux !"
"La justice !","Craignons ici quelque artifice."
"Moi, toi.","La justice."
"Monsieur, je crois que oui ; de grâce, un peu de vin, je suis évanoui.","La peste, le faquin, tu m'as mis en cervelle."
"Taisez-vous, parlez bas, je fais la sentinelle ; on vous cherche partout pour vous prendre au collet, et pour gripper aussi votre pauvre valet ; j’ai passé par la place où le gibet s’apprête ; je suis aussi prié de danser à la fête ; de peur du mauvais air, on vous gardera peu.","Apprends que les tourments, ni le fer, ni le feu, ne sauraient imprimer sur ce coeur ferme et stable."
"Pas si ferme que moi quand je suis à la table.","Taisez vous, insolent, ivrogne, et sans raison, vos discours effrontés ne sont pas de saison, vous raillez hors de temps."
"Si vous continuez d’être ainsi ménager, vous ne dépenserez rien, ou fort peu de chose, pour nourrir vos valets.","Oui, la métamorphose sera bonne, sans doute, et nous réussira, sous ce déguisement vienne après qui pourra."
"Oui, la métamorphose sera bonne, sans doute, et nous réussira, sous ce déguisement vienne après qui pourra.","Donne-moi tes habits."
"Pourquoi faire ?","Mêlez-vous seulement d'obéir, et vous taire."
"Mes habits, monsieur ?","Oui, vous prendrez les miens."
"Oui, vous prendrez les miens.","Vous vous moquez de moi !"
"Vous vous moquez de moi !","Tant de sots entretiens me choquent à la fin, dépêchons."
"Si je suis rencontré le premier, on m’assomme ; et pour dire cent fois, monsieur, ce n’est pas moi, on me pendra, sans doute, et sans dire pourquoi.","Si vous contestez plus, insolent, je proteste ."
"Passe dedans ce coin, il nous sert de retraite en ce présent besoin.","Tu trembles !"
"Tu trembles !","Le coeur bat."
"Aussi ne croyez pas qu’en cette occasion je ne vous fasse voir quelle est ma passion à poursuivre un tel crime ; oui, bientôt la justice en punira l’auteur par un cruel supplice.","Modérez donc vos pleurs et calmez vos ennuis."
"Don philippe encore à vous venger est prêt, avec beaucoup d’ardeur, il prend votre intérêt, et je suis assuré qu’il y perdra la vie, ou qu’il verra dans peu sa vengeance assouvie ; pour moi je vous promets, quoi qu’ordonne le sort, de vous livrer ici l’assassin vif, ou mort.","Après tant de faveurs que faut-il que je fasse ?"
"Après tant de faveurs que faut-il que je fasse ?","Et de quelle façon vous puis-je rendre grâce de toutes les bontés que vous avez pour moi ?"
"Et de quelle façon vous puis-je rendre grâce de toutes les bontés que vous avez pour moi ?","Allons, reposez vous seulement sur ma foi, je prends assez de part en tout ce qui vous touche, mon ordre est pressant, et."
"Allons, reposez vous seulement sur ma foi, je prends assez de part en tout ce qui vous touche, mon ordre est pressant, et.","Vous me fermez la bouche."
"Quoi qui puisse arriver, fidèles compagnons, ne mettez pas le coeur ni la force aux talons ; car dans cette capture où je prends la conduite, le premier que je vois s’ébranler à la fuite, que la peur du péril vient saisir au collet, je le renverse mort d’un coup de pistolet.","Donc que chacun de vous examine, regarde, soyez tous attentifs, et tous sous bonne garde ; car souvent en des coups semblables entrepris, tel qui croyait surprendre, a souvent été pris."
"J’ouïe du bruit, compagnons.","Avance, la montagne."
"Avance, la montagne.","Roquetaillade, avance à moi."
"Roquetaillade, avance à moi.","Le ciel m'accompagne, je vais être pendu dedans mes beaux habits, si le ciel par bonté ne me garde de pis."
"Qui branle ?","Il faut demeurer là."
"Il faut demeurer là.","Me voilà demeuré ; quels faquins sont-ce là?"
"Seigneur.","Si vous osez dire un mot seulement."
"Vos compliments sont ici superflus ; mais que dans mon chemin je ne vous trouve plus.","Où diable ai-je donc pris ce morceau de courage ?"
"Mais ne demeurons pas en ce lieu d’avantage ; car s’il faut par malheur que j’y sois découvert, c’est là que je serai, sans doute, pris sans vert.","La malepeste !"
"Ils ont diablement pris la fuite, de notre part aussi ménageons bien la suite ; sortons à petit bruit, je sais certains endroits d’un mur rompu par où j’ai passé d’autres fois, allons-y de ce pas, et surtout, pour bien faire, de ces maudits habits tâchons de nous défaire ; j’y sue à même temps, et j’y transis d’effroi, et j’y serais pendu malgré mes dents et moi.","Cour, jadis mes plus grandes délices, cour, le plus grand de mes supplices, et l'écueil d'un tas, d'insensés, qui d'une âme inconstante, autant qu'irrésolue, ont les yeux couverts d'une nuée qui leur cache les maux dont ils sont menacés."
"Cour, jadis mes plus grandes délices, cour, le plus grand de mes supplices, et l'écueil d'un tas, d'insensés, qui d'une âme inconstante, autant qu'irrésolue, ont les yeux couverts d'une nuée qui leur cache les maux dont ils sont menacés.","Bois, antres, rochers, solitude, charmeurs de mon inquiétude, ô que je bénis l'heureux jour, qu'après toutes les mers affreuses traversées je puis élever mes pensées, sans craindre la tempête au céleste séjour."
"Bois, antres, rochers, solitude, charmeurs de mon inquiétude, ô que je bénis l'heureux jour, qu'après toutes les mers affreuses traversées je puis élever mes pensées, sans craindre la tempête au céleste séjour.","J'ai vu, menacé du naufrage, le nil, le jourdain et le tage et mille fois près du tombeau, j'ai vu le rhin, le gange, et l'euphrate et le tigre, j'ai vu le danube et le tibre, enfin tout le vieux monde, et le monde nouveau."
"Dites un peu pourquoi.","Pour te croire, il faudrait ne manquer pas de foi."
"Il n’est rien de plus vrai, monsieur, ils étaient seize ; d’abord l’épée au poing j’en ai renversé treize ; les trois qui sont restés avec le prévôt, je leur ai fait gagner la guérite bientôt peste !","Comme ils fuyaient ces pauvres misérables !"
"Je vous les ai battus en trente mille diables ; enfin treize sont morts, et pour les trois restés ils mourront dans demain au plus tard ; écoutez.","C'est là ce grand courage ?"
"C'est là ce grand courage ?","Ah, le vaillant pagnotte !"
"Ah, le vaillant pagnotte !","Si j'avais mon habit avec quoi je les frotte."
"Si j'avais mon habit avec quoi je les frotte.","Vaillance à part, dis moi ?"
"Quiescat in pace.","Oui, je veux éloigner cette maudite terre où je me vois toujours menacé du tonnerre ; peut-être qu'en quittant ce pays malheureux, nous trouverons ailleurs des destins plus heureux."
"Oui, je veux éloigner cette maudite terre où je me vois toujours menacé du tonnerre ; peut-être qu'en quittant ce pays malheureux, nous trouverons ailleurs des destins plus heureux.","Que ferez vous tout seul ?"
"Que ferez vous tout seul ?","Je veux que tu me suives."
"Comment !","Mon père est mort !"
"Mon père est mort !","À ce coup je connais que le ciel et l'enfer sont ligués contre moi : mais tu m'as bien longtemps caché cette nouvelle."
"À ce coup je connais que le ciel et l'enfer sont ligués contre moi : mais tu m'as bien longtemps caché cette nouvelle.","Ce malheureux prévôt, et toute sa séquelle, qu'à tous moments je crois me tenir au collet, m'ont fait en ce moment oublier mon rôle."
"On n’a pu lui donner de secours qu’inutile, disaient-ils assez haut, les crimes de son fils l’ont tellement saisi, l’ont tellement surpris, que succombant aux maux qu’a commis cet infâme, au milieu de ses gens il vient de rendre l’âme ; or comme je sais bien que par tout recherchant on n’en saurait jamais trouver un si méchant, si les crimes d’un fils ont fait mourir un père, il faut que ce soit vous, ou je rêve, compère.","Ne m'importune plus."
"Eh bien !","Mon père est mort, voyons ce que de nous ordonnera le sort et si d'autres climats nous seront plus prospères."
"Pour vous tout seul ?","Non, fat, je vous ai déjà dit que vous."
"Tu ne sais pas encore ce qui me reste, approche.","Auriez-vous bien coulé quelques joyaux en poche ?"
"Pour comble de louange et de gloire et d’honneur, il ne vous reste plus que d’être bon voleur.","Va, nous aurons et bien et disgrâce commune."
"Quel homme vient ici me couper le chemin ?","Vous voilà bien troublé, c'est."
"Un pèlerin.","En l'état où je suis chacun me fait ombrage, avance, et va le voir si tu peux au visage."
"Monsieur.","Il faut avoir l'habit du pèlerin."
"Il faut avoir l'habit du pèlerin.","Ô diable zot !"
"Monsieur, croyez-vous que cet homme .","Tu répliques toujours, à la fin je t'assomme, tes contestations te vaudront mille coups."
"Tu répliques toujours, à la fin je t'assomme, tes contestations te vaudront mille coups.","Mais aussi tant d'habits, à quoi donc pensez vous ?"
"Je n’ai point encore vu de telles incartades, vous feriez bien vous seul cinq ou six mascarades ; l’habit d’un pèlerin, l’habit de son valet et tout cela pourquoi ?","Pour aller au gibet."
"Ôte-toi.","Ce maraud ne sert qu'à m'interrompre."
"Ce maraud ne sert qu'à m'interrompre.","Il aura, que je crois, grand peine à le corrompre."
"Que faites-vous ainsi dans cette forêt sombre ?","De même que le corps est suivi de son ombre, je suis, par des sentiers que me prescrit le sort, l'infaillible chemin qui nous mène à la mort."
"De même que le corps est suivi de son ombre, je suis, par des sentiers que me prescrit le sort, l'infaillible chemin qui nous mène à la mort.","Que parle-t-il de mort ?"
"Ah !","Point de répondant !"
"Point de répondant !","Quand il est question de grimper au gibet, jamais de caution."
"Vous avez en ces lieux beaucoup d'inquiétude ?","Tant s'en faut, le repos règne en ma solitude, j'y savoure à longs traits les biens délicieux que verse à pleines mains la clémence des cieux ; éloigné de la cour, du bruit et des tempêtes, je converse souvent avec de simples bêtes, en qui je vois cent fois plus de raisonnement qu'aux hommes élevés trop délicatement."
"Tant s'en faut, le repos règne en ma solitude, j'y savoure à longs traits les biens délicieux que verse à pleines mains la clémence des cieux ; éloigné de la cour, du bruit et des tempêtes, je converse souvent avec de simples bêtes, en qui je vois cent fois plus de raisonnement qu'aux hommes élevés trop délicatement.","J'y connais des instincts, j'y vois des connaissances que leur ont influé les célestes puissances, et dont ces animaux savent mieux profiter qu'un tas de réprouvés qu'il faudrait détester."
"J'y connais des instincts, j'y vois des connaissances que leur ont influé les célestes puissances, et dont ces animaux savent mieux profiter qu'un tas de réprouvés qu'il faudrait détester.","Ô honte de ce siècle !"
"Ô honte de ce siècle !","Ô sources infinies d'abominations !"
"Apprenez, esprit faible, et rempli d’ignorance, que votre maître et vous êtes sous la puissance des dieux, justes vengeurs, qui sauront bien punir et vos crimes passés, et ceux de l’avenir.","Peut-être approchez vous de ce moment funeste."
"Peut-être approchez vous de ce moment funeste.","Bonhomme, une autre fois vous nous direz le reste, contentez seulement ma curiosité."
"Si c’est pour éclaircir quelque difficulté, je suis trop ignorant en semblables matières, c’est au ciel qu’il en faut adresser les prières.","Non, c'est qu'en un dessein où le ciel me conduit j'ai nécessairement besoin de votre habit."
"Mon habit ?","Songez-vous à ce que vous me dites ?"
"Songez-vous à ce que vous me dites ?","Sans employer le temps en de vaines redites, j'en ai besoin, vous dis-je, et quoi que vous fissiez, vous me fâcheriez fort, si vous me refusiez."
"Mon habit, quoi que fasse ici votre industrie, ne se dépouillera jamais qu’avec ma vie.","Songez que je vous l'ai demandé par douceur, qu'en ce moment j'en veux être le possesseur, et qu'il n'est rien pour lui que je ne vous octroie."
"Ah !","C'est trop raisonner, et votre résistance."
"Vous me l’ôteriez avec violence ?","Il s'en va son épée en votre sang souiller : ah !"
"Ne le tuez pas, il se va dépouiller.","Vite donc, autrement."
"Non, non, l’argent, ni l’or, ne m’ont jamais tenté.","Vous résistez encor ?"
"Je vous donne le mien.","Mais il m'est inutile."
"Mais il m'est inutile.","Je suis las de vous voir faire le difficile ; que sert de contester ?"
"Je suis las de vous voir faire le difficile ; que sert de contester ?","Car enfin je le veux."
"Mon pauvre pèlerin, répondez à ses voeux, au nom de jupiter.","Souffres-tu qu'on t'affronte ?"
"Viens prendre mon épée et t’en va promptement aussitôt que j’aurai changé d’habillement.","Je vous attends au port avec beaucoup de joie."
"Pour cet habit de mode il en faut des plus beaux.","Je te chamarrerai le tien des plus nouveaux."
"Ce n'est pas encore fait.","Qui diable vient ici ?"
"Quoi !","Vous pouvez souffrir ici des parricides !"
"Vous pouvez souffrir ici des parricides !","Des lâches assassins ?"
"Des lâches assassins ?","Des cruels homicides ?"
"Hélas !","Je m'extravague en ma juste douleur."
"Je m'extravague en ma juste douleur.","Non, les dieux en ceci n'y mêlent rien du leur, et s'ils ne l'ont déjà puni de tous ses crimes, c'est qu'ils l'ont réservé pour les plus creux abîmes, pour le faire souffrir, le faire déchirer, lui faire mille morts, au lieu d'une endurer."
"Pardonnez, justes dieux, dans ma douleur extrême, si j’ose m’emporter et sortir de moi même, et si je vous demande, en suivant mon dessein, qu’il vous plaise punir ce traître par ma main.","Enfin sous cet habit, on ne me peut connaître ; mais vois-je pas là bas don philippe paraître ?"
"Enfin sous cet habit, on ne me peut connaître ; mais vois-je pas là bas don philippe paraître ?","Oui, c'est mon ennemi."
"Oui, c'est mon ennemi.","Je vois un pèlerin."
"Je vois un pèlerin.","Mon ami, pourriez-vous me montrer le chemin ?"
"Mon ami, pourriez-vous me montrer le chemin ?","Où voulez-vous aller ?"
"Où voulez-vous aller ?","Me voilà sans épée, et je connais par là mon attente trompée ; déguisons notre voix le mieux que nous pourrons."
"D'ordinaire.","Ne voyagez-vous point ?"
"Quand je ne sais que faire.","Vous vous accordez mal, courir et demeurer !"
"Je cherche le repos, quand je suis las d’errer.","Vous visite-t-on pas quelquefois ?"
"Vous visite-t-on pas quelquefois ?","Les visites à des gens retirés ne sont pas interdites."
"Non, monsieur.","Mais laissez-moi parler."
"Ah !","Ne permettez pas destins, que l'assassin évite le trépas ; je dois cette victime à ma chère amarille."
"Ne permettez pas destins, que l'assassin évite le trépas ; je dois cette victime à ma chère amarille.","Vous en eussiez plutôt eu nouvelle à la ville."
"Vous en eussiez plutôt eu nouvelle à la ville.","Je me vengerai."
"Faites moi donc, grands dieux.","Détestable enragé, qui vient de guet à pend assassiner un homme, regarde qui je suis, apprends comme on me nomme."
"Détestable enragé, qui vient de guet à pend assassiner un homme, regarde qui je suis, apprends comme on me nomme.","Je suis ce don juan que tu cherches partout, pour qui tu vas courant de l'un à l'autre bout ; je ne me suis caché qu'à dessein de surprendre ce fer dont je saurai maintenant me défendre, et dont je t'ôterais la vie en ce moment, si je n'étais poussé par quelque mouvement d'en remettre l'effet ."
"Assassin, traître, infâme, quoi !","Je te trouverais, et sans t'arracher l'âme ; scélérat, parricide, effronté, suborneur, il faut que de ces mains."
"Je te trouverais, et sans t'arracher l'âme ; scélérat, parricide, effronté, suborneur, il faut que de ces mains.","C'est trop, beau harangueur: malgré les sentiments d'une injuste colère, va dedans les enfers rejoindre ton beau-père."
"À l’aide, mes amis, au secours, je suis mort ; adorable amarille, hélas !","Plaignez mon sort."
"Non, non, je ne puis pas croire que de mon âge on ait jamais parlé d’un semblable naufrage : les pauvres malheureux !","Savez-vous bien comment ils ont gagné le bord si favorablement ?"
"Savez-vous bien comment ils ont gagné le bord si favorablement ?","J'ai pris l'un sur un ais qui respirait à peine, l'autre embrassait à force un morceau de l'antenne, à laquelle tenait un petit bout du mât ; aussitôt mis à terre, ah misérable !"
"Hélas !","A dit le plus petit, dieux !"
"A dit le plus petit, dieux !","Quelle barbarie !"
"Quelle barbarie !","J'avais tant bu de vin sans eau toute ma vie, et si prêt de finir par un cruel destin, faut-il tant boire d'eau sans y mettre de vin ?"
"J'avais tant bu de vin sans eau toute ma vie, et si prêt de finir par un cruel destin, faut-il tant boire d'eau sans y mettre de vin ?","L'autre à qui le malheur semble encore plus rude, témoigne, sans mentir, beaucoup d'inquiétude ; en séchant ses habits, il lâche des propos qui marquent que l'esprit n'est pas bien en repos ; quoi !"
"L'autre à qui le malheur semble encore plus rude, témoigne, sans mentir, beaucoup d'inquiétude ; en séchant ses habits, il lâche des propos qui marquent que l'esprit n'est pas bien en repos ; quoi !","Faudra-t-il encore que les dieux et les hommes me viennent accabler dans les lieux où nous sommes ?"
"En effet, depuis un certain temps on y voit arriver d’étranges accidents, un certain don juan, d’une injuste colère, a tué depuis peu notre seigneur don pierre ; et comme c’est ici son plus proche château, on a fait ériger en ce lieu son tombeau, où l’on a fait graver dessus sa sépulture l’ouvrage le plus beau qui soit en la nature ; sa fille, et son amant, sont ici dès hier, qui font chercher partout l’exécrable meurtrier ; et s’il est attrapé, malgré son industrie, il mourra que je pense en bonne compagnie.","Cela n'est pas nouveau, chacun le sait assez ; allons voir si nos gens sont secs et délassés ; les voilà bien changés qui viennent ce me semble."
"Mon hôte, laissez nous un peu parler ensemble.","Volontiers, aussi bien il faut que j'aille exprès savoir pour le festin si tous nos gens sont prêts."
"Volontiers, aussi bien il faut que j'aille exprès savoir pour le festin si tous nos gens sont prêts.","Sauvé de la tempête, échappé du naufrage, sorti de mille écueils au plus fort de l'orage, je viens, l'esprit remis, en ces aimables lieux rendre grâce humblement à la bonté des dieux."
"Echappé du naufrage au fort de la tempête, sauvé dessus un mât qui m'a cassé la tête, ô beaux lieux, où la mer m'a voulu décharger, ne trouverai-je point quelque chose à manger ?","Tais-toi."
"Pourquoi, monsieur ?","Gourmand insatiable."
"Ne me verrai je point encore un coup à table ?","Je voudrais que la mer t'eût tantôt confondu."
"Hélas !","J'en tremble encore à la seule pensée ; voir des gouffres affreux prêts à nous abîmer, voir dans le même temps des montagnes de mer, voir tomber dessus nous des vagues effroyables, voir les cieux entrouverts, des feux épouvantables, voir éclater la foudre, ouïr mugir les flots, voir la mort sur le front de tous les matelots, voir cette impitoyable errer de bande en bande, la voir faucher partout, et partout qui commande ; enfin voir tout périr dans ces tristes moments par la guerre allumée entre les éléments, et seuls s'en garantir par la bonté céleste, et s'en railler après, t'en doit-on pas de reste ?"
"J'en tremble encore à la seule pensée ; voir des gouffres affreux prêts à nous abîmer, voir dans le même temps des montagnes de mer, voir tomber dessus nous des vagues effroyables, voir les cieux entrouverts, des feux épouvantables, voir éclater la foudre, ouïr mugir les flots, voir la mort sur le front de tous les matelots, voir cette impitoyable errer de bande en bande, la voir faucher partout, et partout qui commande ; enfin voir tout périr dans ces tristes moments par la guerre allumée entre les éléments, et seuls s'en garantir par la bonté céleste, et s'en railler après, t'en doit-on pas de reste ?","Tant s'en faut, je rends grâce à la bonté des flots de m'avoir mis ici sain et sauf: à propos, avez-vous jamais mieux sauté de votre vie ?"
"Qui ?","Celui qui préside avec sa grande barbe, à l'élément liquide ?"
"Celui qui préside avec sa grande barbe, à l'élément liquide ?","C'est neptune."
"C'est neptune.","Neptune !"
"Neptune !","Et tous ces mirmidons qui cornent devant lui, qui sont ils ?"
"Et tous ces mirmidons qui cornent devant lui, qui sont ils ?","Des tritons."
"Des tritons.","La peste les étouffe avec leur cornemuse !"
"La peste les étouffe avec leur cornemuse !","Ils m'ont fait enrager ; mais si je ne m'abuse, ces petits fripons là savent très bien nager : ils vont comme sur terre au milieu du danger."
"Ils m'ont fait enrager ; mais si je ne m'abuse, ces petits fripons là savent très bien nager : ils vont comme sur terre au milieu du danger.","Ha, vous en savez plus que vous n'en voulez dire, vous faites l'ignorant."
"Ha, vous en savez plus que vous n'en voulez dire, vous faites l'ignorant.","Encore faut-il bien rire, puisque nous n'avons plus à craindre le péril."
"Encore faut-il bien rire, puisque nous n'avons plus à craindre le péril.","Tu te feras frotter avecque ton babil."
"Jeûner en bien servant, faire le diable à quatre, et puis après cela me menacer à battre !","C'est qu'à n'en point mentir tu te rends importun."
